feature,importance
BCUT2D_MRLOW,5.341224302351145
VSA_EState8,4.045054114007007
MolLogP,3.509345509567627
EState_VSA4,3.26501858819848
FpDensityMorgan3,2.64721018037466
MinPartialCharge,2.578330081821971
PEOE_VSA6,2.4571984869708823
VSA_EState4,2.4032402224769758
MinAbsEStateIndex,2.296961382482397
BCUT2D_MWLOW,2.160543933460458
SlogP_VSA5,2.083591528827738
PEOE_VSA9,1.9257165605173838
NHOHCount,1.9113595598200175
EState_VSA7,1.8301029314640083
PEOE_VSA10,1.8056737822112703
qed,1.7505978187124716
VSA_EState6,1.7183888077963516
PEOE_VSA7,1.6711052595635574
EState_VSA2,1.6487443153491956
BalabanJ,1.5016281245551069
PEOE_VSA8,1.4807653110964039
VSA_EState7,1.4613261270096627
SMR_VSA10,1.407327340769395
MaxPartialCharge,1.3232486520288664
NumSaturatedHeterocycles,1.2937078272796239
FpDensityMorgan1,1.2645828252254419
SMR_VSA5,1.2457939738765735
BCUT2D_LOGPLOW,1.2265077356414824
EState_VSA3,1.1733765782251977
TPSA,1.1352314217483086
BCUT2D_MWHI,1.1224952729118003
fr_aryl_methyl,1.1158579676566283
EState_VSA5,1.093876324680304
MolWt,1.0494449270723418
AvgIpc,1.0372530945468834
SMR_VSA7,1.0252625170430771
EState_VSA6,1.0084208663722476
MinEStateIndex,1.0038349214004165
BCUT2D_LOGPHI,0.9969587272199786
EState_VSA9,0.9530179966813563
SlogP_VSA3,0.9474962851227705
VSA_EState5,0.9329694043867691
SMR_VSA6,0.9271954498647411
SlogP_VSA4,0.9237173070579832
BCUT2D_MRHI,0.9174335689682197
SlogP_VSA2,0.868250671496733
fr_ester,0.8372184991438333
SlogP_VSA1,0.8094068521802198
VSA_EState1,0.7959936426390005
fr_bicyclic,0.7256142892212945
SPS,0.716573145651127
BCUT2D_CHGLO,0.7049328433967594
PEOE_VSA1,0.69362629718106
EState_VSA8,0.6622578854597474
VSA_EState2,0.6482716897779728
FractionCSP3,0.6451494028469614
SlogP_VSA10,0.6183354825354814
VSA_EState9,0.6149653072864125
BCUT2D_CHGHI,0.6010244000723092
fr_NH0,0.5920617306021492
fr_Ar_OH,0.5862243227767661
SMR_VSA1,0.5679033263845935
EState_VSA1,0.5307163338245388
MaxAbsEStateIndex,0.5184435105530558
VSA_EState3,0.5120703456466561
fr_para_hydroxylation,0.49287474033426104
SMR_VSA4,0.49044647950372483
HallKierAlpha,0.4761930299011354
PEOE_VSA11,0.4527038535731918
SMR_VSA9,0.4499727173119442
fr_ketone,0.44509226654436984
EState_VSA10,0.42800287058572717
SMR_VSA3,0.40262830033873254
NumAliphaticRings,0.3731453968604204
PEOE_VSA2,0.3727553018238875
PEOE_VSA3,0.3502845112477568
NumRotatableBonds,0.33144674543440034
RingCount,0.2928018330306918
fr_halogen,0.2716901452416084
SlogP_VSA12,0.25864384401169593
fr_ether,0.25455110676839404
fr_furan,0.25041122635770724
PEOE_VSA14,0.24764036566127287
NumSaturatedRings,0.21616729838804524
fr_Ar_N,0.21558016975016447
PEOE_VSA5,0.21170944866716837
fr_NH1,0.20930852348214363
SlogP_VSA7,0.20899825677892633
PEOE_VSA12,0.19485094398369915
NumAliphaticHeterocycles,0.19214610927768153
fr_unbrch_alkane,0.18252732627167087
SlogP_VSA8,0.17472198195037605
fr_Al_OH,0.16854825395143072
NumSaturatedCarbocycles,0.15283456488084254
NumAromaticHeterocycles,0.1479740641101181
NumAliphaticCarbocycles,0.14695060676656418
fr_Imine,0.11268006634460494
fr_C_O,0.10489947811012781
fr_amide,0.10057466266891714
fr_Al_OH_noTert,0.09031805482273136
fr_pyridine,0.0859829978428016
fr_ketone_Topliss,0.0671525317807275
PEOE_VSA13,0.059275419200943924
fr_allylic_oxid,0.058455887691996264
fr_hdrzone,0.05403696368968937
fr_aniline,0.05201634787688448
PEOE_VSA4,0.04966733444833359
SlogP_VSA11,0.04373318820678789
fr_methoxy,0.03252995097112336
fr_sulfide,0.027460700391989983
fr_imidazole,0.022381089953932762
fr_Ndealkylation1,0.021941140995841536
fr_thiophene,0.01479245159002577
fr_quatN,0.014528557899234058
SMR_VSA2,0.012324920142863433
fr_alkyl_halide,0.010743801423582923
fr_piperdine,0.009189187751129127
fr_morpholine,0.00732171873249569
fr_Ndealkylation2,0.005134195768550657
fr_C_S,0.004888332346293735
fr_sulfonamd,0.00413245391751476
fr_priamide,0.0030583895493004913
fr_piperzine,0.0
fr_thiazole,0.0
EState_VSA11,0.0
fr_nitro_arom,0.0
fr_nitro,0.0
fr_lactone,0.0
fr_imide,0.0
fr_alkyl_carbamate,0.0
fr_Ar_NH,0.0
fr_ArN,0.0
fr_Al_COO,0.0
fr_NH2,0.0
