model,cv_rmse_mean,cv_rmse_std,train_rows,test_rows,fit_time_sec,mae,rmse,r2,mape,feature_set,target_transform
extra_trees,433.27775343515196,47.9233453263603,800,201,1.4839410781860352,272.0542803785286,443.90584925616656,0.6199202643049647,294.07399238727004,preprocessed_features,original
catboost,431.89318392566156,50.34637764245566,800,201,4.39184308052063,275.12900774903943,445.41492622190185,0.6173316770519612,330.1285891873448,preprocessed_features,original
random_forest,442.41029824704947,34.50792529683823,800,201,3.2683300971984863,283.78966477293454,450.1399178589349,0.6091698721069295,341.6512973948106,preprocessed_features,original
hist_gradient_boosting,472.88897909549416,50.03701273874,800,201,1.8066432476043701,282.7178909996078,457.85511947078356,0.5956577446131628,309.79983378804155,preprocessed_features,original
extra_trees_log_target,472.63537762812473,82.21188739092855,800,201,1.789167881011963,274.1403962614759,490.9853343739553,0.5350245535056085,122.5717176425265,preprocessed_features,log1p
hist_gradient_boosting_log_target,492.8823146852475,76.63143638395891,800,201,2.34631085395813,284.05996826040945,499.53152851925057,0.5186967559095059,135.5388477191858,preprocessed_features,log1p
catboost_log_target,470.49046035461606,82.85259143376521,800,201,5.764703035354614,291.03414030153675,499.89687334182963,0.5179924722302574,137.12311592074246,preprocessed_features,log1p
svr_rbf_log_target,490.9685327937309,67.36924330613121,800,201,0.09237098693847656,300.97628403110116,502.4573995229679,0.513042036268377,159.28640961310379,preprocessed_features,log1p
knn,479.1944021725103,41.177544509126975,800,201,0.043060302734375,301.3524789705671,506.46808513646835,0.5052370760764562,299.2998001673453,preprocessed_features,original
random_forest_log_target,487.4345536864763,75.99354094822952,800,201,3.367705821990967,298.0574644471291,520.0796035758199,0.4782858401747191,124.06845706887883,preprocessed_features,log1p
ridge,480.5759074647707,43.59136595541257,800,201,0.03284406661987305,376.7356026311443,537.1586638319102,0.4434577367770045,531.2439002322727,preprocessed_features,original
linear_regression,493.40199915004115,43.733708941263984,800,201,0.033837080001831055,386.7667978653086,556.043647789477,0.4036369220240732,546.7110987615499,preprocessed_features,original
knn_log_target,488.34163750287007,68.52275447927542,800,201,0.03241872787475586,314.5944111531946,560.3714755172517,0.3943175069285103,163.06131634135474,preprocessed_features,log1p
ridge_log_target,601.0154554137595,60.47913036944613,800,201,0.03478288650512695,396.0777644615811,651.5889776408213,0.18108196003790278,187.13422896316774,preprocessed_features,log1p
dummy_mean,618.9818276242098,53.35410585785003,800,201,0.01464390754699707,511.72933374104,723.0542079024242,-0.008404316091487285,975.8444385128286,preprocessed_features,original
svr_rbf,621.4601979473294,63.8137733216819,800,201,0.0863490104675293,471.6741999584267,731.7046462967601,-0.0326772406889595,603.5893862596582,preprocessed_features,original
dummy_mean_log_target,697.2306958035418,60.424093568918295,800,201,0.015074014663696289,522.2283652007766,818.1593842463411,-0.291126551281387,433.2849495519601,preprocessed_features,log1p
linear_regression_log_target,658.7864779037093,102.15160769348539,800,201,0.03785419464111328,547.6962962251818,2305.7674732008227,-9.254724491924387,352.7115352423609,preprocessed_features,log1p
