model,cv_rmse_mean,cv_rmse_std,train_rows,test_rows,fit_time_sec,mae,rmse,r2,mape,feature_set,target_transform
extra_trees,285.9439176748291,14.199296012195456,800,201,1.6808769702911377,220.4124835960976,425.43676939044263,0.4573783828442699,953.6946961083627,preprocessed_features,original
catboost,284.7420007954971,19.11599237455924,800,201,4.6069512367248535,217.69212631303432,427.69528391980197,0.45160186399038404,1621.8001884324533,preprocessed_features,original
extra_trees,286.9700953065704,14.921784768175131,800,201,2.211091995239258,226.13326316369412,432.0154226644559,0.4404672009926788,869.1895526053546,baseline_features,original
catboost,283.2048437102465,18.460610365598736,800,201,7.717854022979736,227.03504741393604,438.2397571457468,0.42422792785239105,2087.9218743233423,baseline_features,original
hist_gradient_boosting,292.71899271839226,19.299386692494146,800,201,1.9601881504058838,227.90246387478226,438.52163111415234,0.42348702130519666,1453.704348581687,preprocessed_features,original
random_forest,282.0662482927731,14.832254637136867,800,201,4.189961194992065,235.01042454882355,439.3852092771661,0.42121413803499463,1360.0542396365177,preprocessed_features,original
hist_gradient_boosting,296.5758707771981,10.46248628788879,800,201,2.7818219661712646,224.0759571405028,440.08906100924594,0.41935833718573157,1124.8279713214495,baseline_features,original
random_forest,285.17734864690175,16.707198820995192,800,201,6.1834330558776855,233.9278072189598,440.44840080961285,0.41840974354967353,1295.5563199234568,baseline_features,original
catboost_log_target,290.9944540727298,15.863062589894248,800,201,6.475545883178711,218.06885831117413,447.2235628184317,0.40037959790251565,350.1499323260871,baseline_features,log1p
extra_trees_log_target,293.35546897156695,18.020567201280787,800,201,2.042762041091919,215.4486786301741,454.56961751408744,0.3805191905765315,341.7562438754059,baseline_features,log1p
extra_trees_log_target,295.4540858702336,15.260077279816405,800,201,1.5234980583190918,213.95396639193058,457.2513179804851,0.3731884664868165,344.8782373421694,preprocessed_features,log1p
hist_gradient_boosting_log_target,304.3698334179186,16.968219519231862,800,201,2.4950029850006104,213.58329200571293,457.53718963849013,0.37240446145943584,330.63740294703723,baseline_features,log1p
hist_gradient_boosting_log_target,294.2118428598631,15.815201327762288,800,201,1.8981342315673828,216.07401081121947,458.5380723626088,0.36965567251347287,352.734415438878,preprocessed_features,log1p
knn,284.4825797888125,17.78847874020141,800,201,0.04824995994567871,227.8030250909299,463.4834742463616,0.35598563497470714,1492.874876849549,baseline_features,original
ridge,457.8098197278303,299.8733203137641,800,201,0.13432598114013672,263.31727604486616,465.4192282551484,0.3505949067062081,4700.3804506825745,baseline_features,original
catboost_log_target,291.2958518230048,17.16315686959104,800,201,4.3676979541778564,221.26755104015032,468.7405016727353,0.34129341039258065,351.8885239520473,preprocessed_features,log1p
ridge_log_target,374.1291944934471,40.146728814897365,800,201,0.03286099433898926,237.74470978200094,469.9223581886757,0.3379675697554487,992.6279592478908,preprocessed_features,log1p
knn,290.51431638902744,15.998178810598215,800,201,0.04668998718261719,229.24614103248564,470.73922329485237,0.33566394997604565,1508.2411297017716,preprocessed_features,original
random_forest_log_target,299.62346486760987,17.4149507640949,800,201,4.231558084487915,221.60191253427672,480.914989313702,0.3066321920628644,334.67440098191037,baseline_features,log1p
ridge,300.82754723280743,22.972685033648602,800,201,0.029736995697021484,268.955229473079,481.903884808822,0.3037777446876755,5827.354363372075,preprocessed_features,original
random_forest_log_target,300.11231238610554,16.63033529151488,800,201,2.994565963745117,223.33574079075518,482.0048623569959,0.3034859430063659,342.0041478795168,preprocessed_features,log1p
linear_regression,305.8593533228123,20.027984113984434,800,201,0.04553818702697754,278.4914125895217,487.96876788557364,0.28614320233198975,5580.647915227908,preprocessed_features,original
svr_rbf_log_target,339.9072113654011,68.95475879486979,800,201,0.12842607498168945,225.88543926048115,494.8329260780502,0.26591858899969323,386.83603905666314,baseline_features,log1p
svr_rbf_log_target,330.6036532993436,51.53209333187378,800,201,0.10966801643371582,225.29068495385636,500.33789492963746,0.2494945659131359,383.21269132970895,preprocessed_features,log1p
ridge_log_target,349282461261.1344,698562229805.5881,800,201,0.03663492202758789,235.7723184871658,505.57493254121664,0.23370125859159885,809.1439618451031,baseline_features,log1p
linear_regression,119490.00004965524,238134.0923318894,800,201,1.507314920425415,287.95424644898554,506.30746745297574,0.23147904695866572,5215.584614027029,baseline_features,original
knn_log_target,306.49890802959567,18.68937243649686,800,201,0.0359349250793457,226.51738046115193,523.7539293277441,0.1776027764990854,538.7293140373447,baseline_features,log1p
knn_log_target,313.2882332735672,16.07314111864645,800,201,0.0341792106628418,225.03976042980128,529.4104794039511,0.15974304780926607,539.8322724079657,preprocessed_features,log1p
dummy_mean,341.3129060028898,15.778610866720287,800,201,1.8433082103729248,315.18529459295723,584.9037125364263,-0.02564201444787817,18642.41484251604,baseline_features,original
