model,cv_rmse_mean,cv_rmse_std,train_rows,test_rows,fit_time_sec,mae,rmse,r2,mape,feature_set,target_transform
random_forest,265.8831731294491,112.43078002735943,800,201,5.867010116577148,191.277281302158,1353.767099331262,0.08761694210584314,11380.89268956625,preprocessed_features,original
hist_gradient_boosting,272.028416566829,111.73822398061874,800,201,3.8134021759033203,191.7049315462497,1354.6537530854894,0.08642141477781318,10807.200817677114,preprocessed_features,original
extra_trees,273.6705863365411,111.71350370324997,800,201,1.9955341815948486,186.60364565001282,1354.6699609162097,0.08639955352270534,10518.730737558044,preprocessed_features,original
catboost,272.64714250621864,111.25119523409339,800,201,4.859584093093872,189.00484236019946,1355.6034556037562,0.08514000687042156,10562.393973619197,preprocessed_features,original
knn,258.5974643837976,122.68564617389703,800,201,0.04300999641418457,195.79530773013084,1356.4300654010258,0.08402395365418258,11224.021978950932,preprocessed_features,original
linear_regression,268.8830012147431,108.43057322035159,800,201,0.03723430633544922,228.7069236518879,1367.5379930554382,0.06896050695614497,12527.475976463651,preprocessed_features,original
ridge,263.6636926345519,109.87505209291407,800,201,0.033589839935302734,222.8642286206314,1368.4280115025979,0.06774823793582563,12264.961889428501,preprocessed_features,original
hist_gradient_boosting_log_target,223.7740422749345,161.07792420269917,800,201,2.435162305831909,178.2362524471668,1414.213471434664,0.004321242639986123,706.3782718415457,preprocessed_features,log1p
random_forest_log_target,220.9760937699255,164.29868489252445,800,201,3.7609779834747314,177.60802036303141,1414.3683766905074,0.004103108217083373,658.7613246753571,preprocessed_features,log1p
extra_trees_log_target,220.6202361171735,164.45370175294426,800,201,1.7118937969207764,177.6754594268493,1414.435036876551,0.004009231349350717,651.0924725382918,preprocessed_features,log1p
catboost_log_target,222.94545645648196,161.96585437456423,800,201,5.003145933151245,178.00042526628107,1416.1045876006262,0.0016565768188656627,652.3902284784034,preprocessed_features,log1p
knn_log_target,222.09044562350405,164.55012585866123,800,201,0.03415393829345703,180.80123286333153,1416.9800065541663,0.0004218673193331357,449.8538457172971,preprocessed_features,log1p
svr_rbf_log_target,226.23435950905795,159.56525916620646,800,201,0.10644078254699707,178.57852486882584,1422.8386481802286,-0.007860926342908359,394.5407000962625,preprocessed_features,log1p
linear_regression_log_target,231.9793223168519,159.22586849512857,800,201,0.03580498695373535,181.46180245281286,1423.115429000535,-0.008253077212053705,784.1140770646655,preprocessed_features,log1p
ridge_log_target,227.6226982173094,158.86284580110467,800,201,0.03158283233642578,180.27909686549083,1423.6499462418396,-0.00901061219797894,729.7272829311885,preprocessed_features,log1p
dummy_mean,228.33841761343038,159.24037813623931,800,201,0.014766931533813477,204.7180290661784,1423.9369082433768,-0.009417421311920693,2598.9223713781344,preprocessed_features,original
svr_rbf,223.61107454337812,165.8423437262256,800,201,0.10440421104431152,179.61223744996497,1425.6715122198761,-0.011878212851115455,584.2778427136185,preprocessed_features,original
dummy_mean_log_target,226.1912566048311,165.73920385737898,800,201,0.016276121139526367,181.41476347577466,1428.1233807871092,-0.015361660148608847,353.7574864098377,preprocessed_features,log1p
