feature,importance
VSA_EState6,0.5013056922425405
MinPartialCharge,0.06220215984052283
VSA_EState2,0.05237241721684787
BalabanJ,0.038147099478997304
FractionCSP3,0.027789185958634572
qed,0.02333940706647423
VSA_EState8,0.01818229276805942
SMR_VSA10,0.01380184590140387
VSA_EState9,0.011914502297128045
FpDensityMorgan1,0.010231932427448867
AvgIpc,0.009612433267190471
EState_VSA2,0.009166032153765933
BCUT2D_MWLOW,0.009008719491311755
MolWt,0.008886115588837323
MinAbsEStateIndex,0.008802135511416181
BCUT2D_CHGHI,0.008637298208658967
BCUT2D_LOGPHI,0.008021941635392884
BCUT2D_CHGLO,0.007654861466147209
VSA_EState3,0.007409712083744878
BCUT2D_MRLOW,0.007296162798906994
PEOE_VSA9,0.006198617369739473
BCUT2D_MRHI,0.005965027016667264
SMR_VSA5,0.0058856604824432225
BCUT2D_LOGPLOW,0.005741648776383931
SMR_VSA7,0.0050731150845893455
fr_methoxy,0.004740947241971291
MaxAbsEStateIndex,0.004394707998754766
VSA_EState1,0.004366686013344961
FpDensityMorgan3,0.004281607592406397
MaxPartialCharge,0.004179162459153062
VSA_EState7,0.004006965962555375
PEOE_VSA11,0.003974564848529561
PEOE_VSA7,0.003961058354982416
NHOHCount,0.0038513310885391087
SlogP_VSA3,0.003635075065304273
VSA_EState5,0.003579801790028314
BCUT2D_MWHI,0.0033135552354447385
SlogP_VSA2,0.003278609023680932
PEOE_VSA6,0.003251485068874236
MolLogP,0.003078564088569373
RingCount,0.0028407376935577983
SMR_VSA4,0.0027263439387051345
fr_sulfonamd,0.0026000626425870437
EState_VSA6,0.0025078897881407494
PEOE_VSA13,0.0023997904114582847
HallKierAlpha,0.0023579293443667373
SlogP_VSA5,0.0023565712028109083
SPS,0.0023294866995774394
SMR_VSA1,0.002320614485841376
PEOE_VSA3,0.002308402712017931
VSA_EState4,0.0022610270883955566
NumRotatableBonds,0.0022345741469349915
SMR_VSA6,0.0022297488145170746
fr_Al_OH_noTert,0.002191616332454019
fr_Al_COO,0.002120966739157224
EState_VSA3,0.00194075974451428
PEOE_VSA10,0.0018967778394580032
fr_ether,0.001829473605211851
SlogP_VSA1,0.0017509018299789092
EState_VSA9,0.0017370837436009574
TPSA,0.0016559876495673205
MinEStateIndex,0.0016073020364432184
fr_Imine,0.0013329702869230972
EState_VSA8,0.0012747926020474651
NumSaturatedCarbocycles,0.0012727228284742426
fr_ester,0.0011090430535112255
PEOE_VSA8,0.001068140412484627
PEOE_VSA2,0.0010609590319063404
PEOE_VSA1,0.001010016402645604
EState_VSA7,0.0009385982036098381
fr_Al_OH,0.0009311258682966945
NumAliphaticCarbocycles,0.0009170741168623264
EState_VSA4,0.0008651629685982777
EState_VSA5,0.0008565522211341688
fr_NH1,0.0007339444186041341
SMR_VSA3,0.0006967469685257639
fr_bicyclic,0.0006576879608201798
SlogP_VSA4,0.0006443322997907978
EState_VSA1,0.0006299887907646227
fr_halogen,0.0005455103015197175
fr_NH0,0.00043617061580837813
fr_priamide,0.00042310032524506464
fr_unbrch_alkane,0.00042290418534111294
fr_pyridine,0.0003488117557546632
fr_amide,0.0003419416716895384
fr_quatN,0.00025897296564288044
EState_VSA10,0.0002444144245242254
PEOE_VSA14,0.00019023728549372464
SlogP_VSA8,0.00017960156277593793
PEOE_VSA12,0.0001794819160802049
fr_aniline,0.00017135869899247933
SlogP_VSA10,0.00013697634769515972
NumAromaticHeterocycles,0.00013322987675529806
PEOE_VSA4,0.00012806313642954093
SMR_VSA9,0.00012128771027171795
NumAliphaticHeterocycles,0.0001159546788805912
SMR_VSA2,0.00011327938533978636
fr_Ndealkylation1,0.00011121743735268094
NumAliphaticRings,0.00010879521341859475
SlogP_VSA11,8.499223729505545e-05
SlogP_VSA7,7.040343106506542e-05
fr_C_O,5.391749629514984e-05
fr_alkyl_halide,4.305151722656014e-05
NumSaturatedRings,3.210996089057724e-05
fr_aryl_methyl,3.188627773088279e-05
fr_allylic_oxid,2.9202379628209723e-05
fr_para_hydroxylation,2.7203829208393986e-05
fr_imidazole,2.5737081013256e-05
fr_Ar_NH,2.0409022708529194e-05
SlogP_VSA12,1.54638433327295e-05
fr_NH2,1.428795280849414e-05
fr_morpholine,1.3394946585009922e-05
fr_thiophene,1.2572425399134612e-05
fr_nitro_arom,1.2436581731917951e-05
fr_nitro,1.0950688798758185e-05
PEOE_VSA5,7.763681470415642e-06
fr_Ar_N,6.9978091719854725e-06
NumSaturatedHeterocycles,5.935926975779258e-06
fr_hdrzone,5.047595211176038e-06
fr_Ar_OH,4.501215477884083e-06
fr_ketone_Topliss,3.535785513741431e-06
fr_furan,2.5630660573641675e-06
fr_piperdine,2.2356463683123962e-06
fr_Ndealkylation2,1.6450685830128423e-06
fr_imide,1.6244887468318403e-06
fr_thiazole,1.5735286438366897e-06
fr_alkyl_carbamate,1.1848215067838563e-06
fr_ketone,7.899151874026372e-07
fr_lactone,4.089320420735028e-07
fr_sulfide,2.725656869919934e-07
fr_C_S,1.9189510375293798e-07
fr_piperzine,1.8455796082734443e-07
EState_VSA11,1.0170253422860965e-07
fr_ArN,6.774134021768421e-08
