model,feature_set,full_model_name,n_clusters,silhouette,calinski_harabasz,davies_bouldin,cluster_0_count,cluster_1_count,cluster_2_count
kmeans,base,kmeans_base,3,0.3415588991144193,12567.178019322122,1.0402434983521927,9004,8308,6167
kmeans,extended,kmeans_extended,3,0.3376135122841047,13065.800527751959,1.1168353391474557,8153,8892,6434
gaussian_mixture_full,extended,gaussian_mixture_full_extended,3,0.3211682834277713,12404.129459001915,1.1419270838381257,9298,8156,6025
agglomerative_ward,base,agglomerative_ward_base,3,0.3016620622416821,9582.432516468269,1.0966779122925383,11951,5125,6403
agglomerative_ward,extended,agglomerative_ward_extended,3,0.29529388366735626,10924.27567642192,1.1918634845046914,8334,5944,9201
kmeans,all,kmeans_all,3,0.2767997810174017,10170.279983096563,1.4371255124572162,9591,6349,7539
gaussian_mixture_diag,base,gaussian_mixture_diag_base,3,0.27108616735052626,9237.967447164856,1.2651507701532456,9351,7610,6518
gaussian_mixture_full,base,gaussian_mixture_full_base,3,0.2641511709493117,9025.751905296675,1.2651723946748177,6274,9529,7676
gaussian_mixture_diag,extended,gaussian_mixture_diag_extended,3,0.24264262357300098,10174.333103697598,1.1581713498868613,8144,10789,4546
gaussian_mixture_diag,all,gaussian_mixture_diag_all,3,0.19202741525367634,9003.25558974366,1.781302830193587,7545,7625,8309
gaussian_mixture_full,all,gaussian_mixture_full_all,3,0.19065770647459973,8855.157460202403,1.6634587575826234,7351,6140,9988
